Country,Year,Value
R̩union,2003,31.60
R̩union,2004,32.80
R̩union,2005,30.10
R̩union,2006,28.30
R̩union,2007,24.10
R̩union,2008,24.40
R̩union,2009,27.10
R̩union,2010,28.90
R̩union,2011,29.60
R̩union,2012,28.50
R̩union,2013,28.90
Saint Kitts and Nevis,2007,5.10
Saint Kitts and Nevis,2009,6.50
Saint Lucia,2003,22.20
Saint Lucia,2004,21.00
Saint Lucia,2005,18.70
Saint Lucia,2006,16.00
Saint Lucia,2007,14.00
Saint Lucia,2008,12.72
Saint Lucia,2009,15.37
Saint Lucia,2010,20.64
Saint Lucia,2011,18.86
Saint Lucia,2012,19.06
Saint Lucia,2013,22.21
Saint Vincent and the Grenadines,2008,18.80
Samoa,2006,1.29
Samoa,2011,5.68
Samoa,2012,8.72
San Marino,2006,2.80
San Marino,2007,2.60
San Marino,2009,4.02
San Marino,2010,4.37
San Marino,2011,5.06
San Marino,2012,6.10
San Marino,2013,6.02
San Marino,2014,6.61
Sao Tome and Principe,2003,16.36
Sao Tome and Principe,2004,16.12
Sao Tome and Principe,2005,16.47
Sao Tome and Principe,2006,16.65
Sao Tome and Principe,2012,13.59
Saudi Arabia,2003,5.56
Saudi Arabia,2004,5.82
Saudi Arabia,2005,6.05
Saudi Arabia,2006,6.25
Saudi Arabia,2007,5.73
Saudi Arabia,2008,5.08
Saudi Arabia,2009,5.38
Saudi Arabia,2010,5.55
Saudi Arabia,2011,5.77
Saudi Arabia,2012,5.52
Saudi Arabia,2013,5.57
Saudi Arabia,2014,5.72
Senegal,2006,10.03
Senegal,2011,10.36
Serbia,2003,15.20
Serbia,2004,18.50
Serbia,2005,20.85
Serbia,2006,20.85
Serbia,2007,18.06
Serbia,2008,13.63
Serbia,2009,16.10
Serbia,2010,19.20
Serbia,2011,23.00
Serbia,2012,23.90
Serbia,2013,22.12
Serbia,2014,18.87
Seychelles,2005,5.50
Seychelles,2011,4.11
Sierra Leone,2004,3.40
Sierra Leone,2014,2.80
Singapore,2003,5.20
Singapore,2004,4.40
Singapore,2005,4.10
Singapore,2006,3.60
Singapore,2007,3.00
Singapore,2008,3.20
Singapore,2009,4.30
Singapore,2010,3.10
Singapore,2011,2.90
Singapore,2012,2.80
Singapore,2013,2.80
Singapore,2014,2.80
Slovakia,2003,17.10
Slovakia,2004,18.60
Slovakia,2005,16.30
Slovakia,2006,13.40
Slovakia,2007,11.10
Slovakia,2008,9.50
Slovakia,2009,12.00
Slovakia,2010,14.40
Slovakia,2011,13.60
Slovakia,2012,14.00
Slovakia,2013,14.20
Slovakia,2014,13.20
Slovenia,2003,6.50
Slovenia,2004,6.00
Slovenia,2005,6.50
Slovenia,2006,6.00
Slovenia,2007,4.90
Slovenia,2008,4.40
Slovenia,2009,5.90
Slovenia,2010,7.30
Slovenia,2011,8.20
Slovenia,2012,8.90
Slovenia,2013,10.10
Slovenia,2014,9.70
South Africa,2003,27.12
South Africa,2004,24.67
South Africa,2005,23.84
South Africa,2006,22.62
South Africa,2007,22.33
South Africa,2008,22.55
South Africa,2009,23.68
South Africa,2010,24.87
South Africa,2011,24.78
South Africa,2012,24.87
South Africa,2013,24.74
South Africa,2014,25.08
South Sudan,2008,12.15
Spain,2003,11.30
Spain,2004,11.10
Spain,2005,9.20
Spain,2006,8.50
Spain,2007,8.20
Spain,2008,11.30
Spain,2009,17.90
Spain,2010,19.90
Spain,2011,21.40
Spain,2012,24.80
Spain,2013,26.10
Spain,2014,24.50
Sri Lanka,2003,8.20
Sri Lanka,2004,8.40
Sri Lanka,2005,7.70
Sri Lanka,2006,6.50
Sri Lanka,2007,6.00
Sri Lanka,2008,5.20
Sri Lanka,2009,5.90
Sri Lanka,2010,4.90
Sri Lanka,2011,4.20
Sri Lanka,2012,4.00
Sri Lanka,2013,4.41
Sri Lanka,2014,4.40
State of Palestine,2003,24.45
State of Palestine,2004,26.78
State of Palestine,2005,23.46
State of Palestine,2006,23.58
State of Palestine,2007,21.39
State of Palestine,2008,25.99
State of Palestine,2009,24.55
State of Palestine,2010,23.73
State of Palestine,2011,20.94
State of Palestine,2012,22.97
State of Palestine,2013,23.40
State of Palestine,2014,26.94
Sudan,2008,14.80
Sudan,2009,13.00
Suriname,2009,9.02
Suriname,2010,7.56
Suriname,2013,4.84
Suriname,2014,6.94
Swaziland,2007,28.24
Sweden,2003,5.60
Sweden,2004,6.70
Sweden,2005,7.80
Sweden,2006,7.10
Sweden,2007,6.20
Sweden,2008,6.20
Sweden,2009,8.40
Sweden,2010,8.60
Sweden,2011,7.80
Sweden,2012,8.00
Sweden,2013,8.10
Sweden,2014,8.00
Switzerland,2003,4.10
Switzerland,2004,4.30
Switzerland,2005,4.50
Switzerland,2006,4.00
Switzerland,2007,3.70
Switzerland,2008,3.40
Switzerland,2009,4.10
Switzerland,2010,4.60
Switzerland,2011,4.10
Switzerland,2012,4.20
Switzerland,2013,4.40
Switzerland,2014,4.60
Syrian Arab Republic,2003,10.30
Syrian Arab Republic,2006,8.20
Syrian Arab Republic,2007,8.40
Syrian Arab Republic,2008,10.90
Syrian Arab Republic,2009,8.10
Syrian Arab Republic,2010,8.40
Tajikistan,2009,11.50
Thailand,2003,1.54
Thailand,2004,1.51
Thailand,2005,1.35
Thailand,2006,1.22
Thailand,2007,1.18
Thailand,2008,1.18
Thailand,2009,1.49
Thailand,2010,1.04
Thailand,2011,0.66
Thailand,2012,0.58
Thailand,2013,0.77
Thailand,2014,0.84
The former Yugoslav Republic of Macedonia,2003,36.69
The former Yugoslav Republic of Macedonia,2004,37.15
The former Yugoslav Republic of Macedonia,2005,37.27
The former Yugoslav Republic of Macedonia,2006,36.10
The former Yugoslav Republic of Macedonia,2007,35.00
The former Yugoslav Republic of Macedonia,2008,33.80
The former Yugoslav Republic of Macedonia,2009,32.20
The former Yugoslav Republic of Macedonia,2010,32.00
The former Yugoslav Republic of Macedonia,2011,31.40
The former Yugoslav Republic of Macedonia,2012,31.00
The former Yugoslav Republic of Macedonia,2013,29.00
The former Yugoslav Republic of Macedonia,2014,28.00
Timor-Leste,2007,6.70
Timor-Leste,2010,3.05
Tonga,2003,5.20
Trinidad and Tobago,2003,10.50
Trinidad and Tobago,2004,8.30
Trinidad and Tobago,2005,7.95
Trinidad and Tobago,2006,6.27
Trinidad and Tobago,2007,5.54
Trinidad and Tobago,2008,4.63
Trinidad and Tobago,2009,5.28
Trinidad and Tobago,2010,5.93
Trinidad and Tobago,2011,4.70
Trinidad and Tobago,2012,5.00
Trinidad and Tobago,2013,3.59
Trinidad and Tobago,2014,3.31
Tunisia,2003,14.50
Tunisia,2004,13.90
Tunisia,2005,12.90
Tunisia,2006,12.50
Tunisia,2007,12.40
Tunisia,2008,12.40
Tunisia,2009,13.29
Tunisia,2010,13.05
Tunisia,2011,18.33
Tunisia,2012,17.63
Tunisia,2013,15.93
Turkey,2003,10.54
Turkey,2004,10.84
Turkey,2005,10.64
Turkey,2006,8.80
Turkey,2007,8.90
Turkey,2008,9.80
Turkey,2009,12.60
Turkey,2010,10.70
Turkey,2011,8.80
Turkey,2012,8.20
Turkey,2013,8.80
Turkey,2014,9.90
Uganda,2003,3.20
Uganda,2005,2.00
Uganda,2009,4.20
Ukraine,2003,9.10
Ukraine,2004,8.59
Ukraine,2005,7.18
Ukraine,2006,6.80
Ukraine,2007,6.40
Ukraine,2008,6.40
Ukraine,2009,8.80
Ukraine,2010,8.10
Ukraine,2011,7.90
Ukraine,2012,7.50
Ukraine,2013,7.20
Ukraine,2014,9.27
United Arab Emirates,2005,3.10
United Arab Emirates,2008,4.00
United Arab Emirates,2009,4.20
United Kingdom of Great Britain and Northern Ireland,2003,4.80
United Kingdom of Great Britain and Northern Ireland,2004,4.60
United Kingdom of Great Britain and Northern Ireland,2005,4.80
United Kingdom of Great Britain and Northern Ireland,2006,5.40
United Kingdom of Great Britain and Northern Ireland,2007,5.30
United Kingdom of Great Britain and Northern Ireland,2008,5.60
United Kingdom of Great Britain and Northern Ireland,2009,7.60
United Kingdom of Great Britain and Northern Ireland,2010,7.80
United Kingdom of Great Britain and Northern Ireland,2011,8.10
United Kingdom of Great Britain and Northern Ireland,2012,7.90
United Kingdom of Great Britain and Northern Ireland,2013,7.60
United Kingdom of Great Britain and Northern Ireland,2014,6.10
United Republic of Tanzania,2006,4.70
United Republic of Tanzania,2007,2.00
United Republic of Tanzania,2009,2.50
United Republic of Tanzania,2011,3.47
United Republic of Tanzania,2013,2.93
United Republic of Tanzania,2014,10.27
United States of America,2003,6.00
United States of America,2004,5.50
United States of America,2005,5.10
United States of America,2006,4.60
United States of America,2007,4.60
United States of America,2008,5.80
United States of America,2009,9.30
United States of America,2010,9.60
United States of America,2011,8.90
United States of America,2012,8.10
United States of America,2013,7.40
United States of America,2014,6.20
Uruguay,2003,16.35
Uruguay,2005,12.20
Uruguay,2006,10.56
Uruguay,2007,9.15
Uruguay,2008,7.70
Uruguay,2009,7.30
Uruguay,2010,6.80
Uruguay,2011,6.32
Uruguay,2012,6.44
Uruguay,2013,6.45
Uruguay,2014,6.46
Vanuatu,2009,5.46
Venezuela (Bolivarian Republic of),2003,16.80
Venezuela (Bolivarian Republic of),2004,15.00
Venezuela (Bolivarian Republic of),2005,11.40
Venezuela (Bolivarian Republic of),2006,9.33
Venezuela (Bolivarian Republic of),2007,7.47
Venezuela (Bolivarian Republic of),2008,6.85
Venezuela (Bolivarian Republic of),2009,8.05
Venezuela (Bolivarian Republic of),2010,8.45
Venezuela (Bolivarian Republic of),2011,7.84
Venezuela (Bolivarian Republic of),2012,7.41
Venezuela (Bolivarian Republic of),2013,7.79
Venezuela (Bolivarian Republic of),2014,6.95
Viet Nam,2003,2.30
Viet Nam,2004,2.10
Viet Nam,2008,2.40
Viet Nam,2009,2.61
Viet Nam,2010,2.64
Viet Nam,2011,2.02
Viet Nam,2012,1.80
Viet Nam,2013,1.95
Viet Nam,2014,1.87
Yemen,2005,16.10
Yemen,2006,15.70
Yemen,2007,15.40
Yemen,2008,15.00
Yemen,2009,14.60
Yemen,2010,17.82
Zambia,2005,15.90
Zambia,2008,7.90
Zambia,2012,7.85
Zimbabwe,2004,4.17
Zimbabwe,2011,5.37
Zimbabwe,2014,11.32
